source,target,action
Larry Visoki,"Bill Clinton, Prince Andrew, Ehud Barak, Andres Pastrana Arango, Lawrence Summers, Ron Burkle, Kevin Spacey, Chris Tucker",was deposed and testified about plane passengers including
Larry Visoki,Bill Clinton,testified that was passenger on plane with
Larry Visoki,"Prince Andrew, Duke of York",testified that was passenger on plane with
Larry Visoki,Ehud Barak,testified that was passenger on plane with
Larry Visoki,Andrés Pastrana Arango,testified that was passenger on plane with
Larry Visoki,Lawrence Henry Summers,testified that was passenger on plane with
Larry Visoki,Ron Burkle,testified that was passenger on plane with
Larry Visoki,Kevin Spacey,testified that was passenger on plane with
Larry Visoki,Chris Tucker,testified that was passenger on plane with
Larry Visoski,Jeffrey Epstein,piloted aircraft for
Larry Visoski,Jeffrey Epstein,piloted flight with
Larry Visoski,young girls,testified about aircraft passengers in presence of
Larry Visoski,Jeffrey Epstein,made flight reservation for
Larry Visoski,Jeffrey Epstein,provided flight route information to
Larry Visoski,Jeffrey Epstein,communicated flight options to
Larry Visoski,Jeffrey Epstein,proposed aircraft positioning strategy to
Larry Visoski,G550 aircraft,reported on aircraft maintenance including
Larry Visoski,Jeffrey Epstein,informed about TSA restrictions for general aviation while Trump is in PSI
Larry Visoski,St Thomas,scheduled_flight_to
Larry Visoski,Jeffrey Epstein,confirmed flight to
Larry Visoski,Teterboro Airport,offered to relocate aircraft to
Larry Visoski,Je Vacation,requested aircraft certification form
Larry Visoski,Jeffrey Epstein,sent photos of aircraft
Lawrance Visoski,Tarek El Sayed,positioned aircraft to
Lawrance Visoski,Flight Star Maintenance,described aircraft maintenance coordination with
Lawrence Henry Summers,Jeffrey Epstein,traveled on aircraft with
Lawrence M. Krauss,Jeffrey Epstein,explored cheaper flight options and discussed strategy with
Lawrence M. Krauss,Jeffrey Epstein,provided flight cost information to
Lawrence M. Krauss,Chile,cancelled flight to
Lesley Groff,Marilyn,requested flight for
Lesley Groff,Marilyn,suggested flight for
Leslie H. Wexner,Galaxy Aviation,had plane arrive at
Mark L. Epstein,Jeffrey Epstein,testified that Trump flew on plane with
Michael J. Boccio,Boeing,negotiated contracts with aircraft manufacturers and suppliers
Nadia Marcinkova,flight instructor and pilot,operated commercial aviation business as
Naomi Campbell,Jeffrey Epstein,flew as passenger on
Norbert Wiener,anti-aircraft fire targeting,developed techniques for aiming anti-aircraft fire
Norbert Wiener,anti-aircraft fire,developed techniques for aiming anti-aircraft fire
Peggy Siegal,Los Angeles,flew to
President Clinton,Jeffrey Epstein,flew on plane
"Prince Andrew, Duke of York",Jeffrey Epstein,traveled on aircraft with
Professor Dershowitz,Jeffrey Epstein,flew with
Professor Dershowitz,Jeffrey Epstein,flew with
Professor Dershowitz,Jeffrey Epstein,flew with
Richard Ledgett,Hawaii,flew to
Ron Burkle,Jeffrey Epstein,traveled on aircraft with
Russ Adler,Bradley James Edwards,provided flight manifest
Sarah Harrison,Edward Snowden,arranged flight for
Sarah Harrison,Edward Snowden,booked Aeroflot flight to Moscow for
Sarah Harrison,Edward Snowden,departed Hong Kong on same flight as
Sarah Harrison,Edward Snowden,booked decoy flights
Sarah Kellen,Jeffrey Epstein,appears on flight logs with
Sarah Kellen,Bill Clinton,accompanied_on_flight
Scott Rothstein,Jeffrey Epstein,reviewed flight manifests related to
Scott Rothstein,Jeffrey Epstein,used flight manifest information to pitch investors
Sean,Eva,discussed interest in aircraft with
Soon Suey Sing organization,People's Republic of China flag,flew
Tim Ferriss,"Mendoza wine country, Argentina",chartered private plane in
Virginia Roberts Giuffre,Ghislaine Maxwell,was placed on flights with
Virginia Roberts Giuffre,Jeffrey Epstein,testified about sexual conduct aboard airplane with
Virginia Roberts Giuffre,"Chiang Mai, Thailand",flew
Vladimir Putin,Edward Snowden,authorized flight to Moscow and arranged exfiltration of
Vladimir Putin,Edward Snowden,approved flight of
Warren Justice,Gregg Launer,served as chief pilot on aircraft with
Warren Justice,Launer,recounted flight test with
WikiLeaks,Julian Snowden,funded flight for
WikiLeaks,Harrison,funded flight for
al Qaeda terrorists (19 hijackers),"World Trade Center towers, Pentagon, and field in Shanksville",hijacked and crashed airplanes into
document author (attorney),Jeffrey Epstein's summary judgment motion,used flight log evidence to respond to
federal and state authorities,Moscow airport,took Snowden in special operation from airplane at
federal and state authorities,Edward Snowden,extracted from plane and imposed restrictions on
the witness,underage girl,asserted never on private airplane with underage girl
unnamed military commander,El Al,arranged provision of hangar and aircraft for
Barry Cohen,Jeffrey Epstein,requested opinion on switching aviation service
Barry Cohen,Jeffrey Epstein,considered switching from Jet Aviation to EJM and sought opinion
Barry Cohen,Jeffrey Epstein,provided update on aircraft inspection and depreciation constraints
Barry Cohen,Jeffrey Epstein,asked whether jet vs EJM hinges on plane usage
Barry Cohen,Jeffrey Epstein,sought opinion on switching from Jet Aviation to EJM
Barry Cohen,Jeffrey Epstein,proposed adding internet and changing cushions for aircraft
Barry Cohen,Jeffrey Epstein,explained depreciation constraints for aircraft
Barry Cohen,Jeffrey Epstein,asked for opinion on switching from Jet Aviation to EJM
Barry Cohen,Jeffrey Epstein,asked about switching aircraft management provider
Barry Cohen,Jeffrey Epstein,sought_opinion_on_switching_aviation_service
Barry Cohen,Jeffrey Epstein,described aircraft modifications
Larry Summers,Jeffrey Epstein,requested flight time preference from
Jane Doe #3,Jeffrey Epstein,appeared_in_flight_logs_of
Detective Joseph Recarey,Jeffrey Epstein,observed aircraft belonging to
Lawrence Summers,Jeffrey Epstein's jet,flew on
Lawrence Summers,Jeffrey Epstein's jet,flew on
Lawrence Summers,Jeffrey Epstein's jet,flew on
Lawrence Summers,Jeffrey Epstein's jet,flew on
Lawrence Summers,Jeffrey Epstein,flew on jet of
Lawrence Summers,Jeffrey Epstein,flew on jet of
Lawrence Summers,Jeffrey Epstein,flew on jet of
Lawrence Summers,Jeffrey Epstein,flew on private jet owned by
Lawrence Summers,Jeffrey Epstein,flew on
Lawrence Summers,Jeffrey Epstein's jet,flew on
Russian intelligence,Edward Snowden,coordinated flight
producer,Jeffrey Epstein,obtained flight plan
Nicky Haslam,England,flew in from
pilot,Hudson River,glided plane onto
Kuti,Nairobi,redirected flight to
Benny Peled,larger force of 200 men,proposed using four transport planes to ferry
Sandy Berger,Jeffrey Epstein,flew on
Heidi Klum,Jeffrey Epstein,flew as passenger on
Matt Groning,Jeffrey Epstein,flew as passenger on
Owen Wilson,Larry Gagosian,arrived on plane owned by
Bruce Rinehart,Dave Rogers,provided_flight_logs
Bruce Rinehart,Jeffrey Epstein,produced_flight_logs
Company,DriveTime,entered into aircraft sharing agreement with
Andrés Pastrana,Jeffrey Epstein,flew on
Anwar al-Sadat,Israel,flew to
TT,Jeffrey Epstein,offered to send plane
Jerry King,business jet market,discussed executive conversions and green airplane completion
Je vacation,Donald Trump,reported sale price of aircraft owned by
writer,Jeffrey Epstein's private plane N909JE,attempted to delay flight
