id,label
Jeffrey Epstein's aircraft (Lolita Express),Jeffrey Epstein's aircraft (Lolita Express)
Jeffrey Epstein's plane,Jeffrey Epstein's plane
Jeffrey Epstein's private plane,Jeffrey Epstein's private plane
Jeffrey Epstein's summary judgment motion,Jeffrey Epstein's summary judgment motion
Jet Aviation,Jet Aviation
Julian Assange,Julian Assange
Kathy Gore Walters,Kathy Gore Walters
Kathy Ruemmler,Kathy Ruemmler
Kelly Friendly,Kelly Friendly
Kevin Spacey,Kevin Spacey
Kiev to meet,Kiev to meet
Larry Flynt,Larry Flynt
Larry Gagosian,Larry Gagosian
Larry Visoki,Larry Visoki
Larry Visoski,Larry Visoski
Lawrance Visoski,Lawrance Visoski
Lawrence Henry Summers,Lawrence Henry Summers
Lawrence M. Krauss,Lawrence M. Krauss
Leon,Leon
Lesley Groff,Lesley Groff
Leslie H. Wexner,Leslie H. Wexner
London,London
Los Angeles,Los Angeles
MC2 models and other passengers,MC2 models and other passengers
Marilyn,Marilyn
Mark L. Epstein,Mark L. Epstein
"Mendoza wine country, Argentina","Mendoza wine country, Argentina"
Michael J. Boccio,Michael J. Boccio
Middle East and Central Asian clients,Middle East and Central Asian clients
Moscow,Moscow
Moscow airport,Moscow airport
Nadia Marcinkova,Nadia Marcinkova
Naomi Campbell,Naomi Campbell
Norbert Wiener,Norbert Wiener
October 2005,October 2005
Palm Beach International Airport,Palm Beach International Airport
Palm Beach Police Department,Palm Beach Police Department
Palm Beach Police Detective Joe Recarey,Palm Beach Police Detective Joe Recarey
Paris,Paris
Paul Krassner,Paul Krassner
Peggy Siegal,Peggy Siegal
People's Republic of China flag,People's Republic of China flag
President Clinton,President Clinton
"Prince Andrew, Duke of York","Prince Andrew, Duke of York"
Professor Dershowitz,Professor Dershowitz
Richard Ledgett,Richard Ledgett
Ron Burkle,Ron Burkle
Russ Adler,Russ Adler
Russia,Russia
Saint Thomas,Saint Thomas
Sarah Harrison,Sarah Harrison
Sarah Kellen,Sarah Kellen
Sarah Ransome,Sarah Ransome
Scott Rothstein,Scott Rothstein
Sean,Sean
Soon Suey Sing organization,Soon Suey Sing organization
TED conference,TED conference
TED conference participants,TED conference participants
Tarek El Sayed,Tarek El Sayed
Tatiana,Tatiana
Teterboro Airport,Teterboro Airport
Thorbjørn Jagland,Thorbjørn Jagland
Tim Ferriss,Tim Ferriss
Town of Palm Beach,Town of Palm Beach
Tuesday,Tuesday
U.S. Virgin Islands,U.S. Virgin Islands
"United States District Court, Southern District of Florida","United States District Court, Southern District of Florida"
United States on Tuesday,United States on Tuesday
Virginia,Virginia
Virginia Roberts Giuffre,Virginia Roberts Giuffre
Vladimir Putin,Vladimir Putin
Warren Justice,Warren Justice
"Washington, D.C.","Washington, D.C."
Wayne Huizenga,Wayne Huizenga
WikiLeaks,WikiLeaks
"World Trade Center towers, Pentagon, and field in Shanksville","World Trade Center towers, Pentagon, and field in Shanksville"
World Wrestling Entertainment,World Wrestling Entertainment
a former president,a former president
aircraft flight log,aircraft flight log
al Qaeda terrorists (19 hijackers),al Qaeda terrorists (19 hijackers)
"approximately 20,000 miles in six days","approximately 20,000 miles in six days"
dinner event,dinner event
dinner event for President Clinton,dinner event for President Clinton
document author (attorney),document author (attorney)
federal and state authorities,federal and state authorities
flight instructor and pilot,flight instructor and pilot
flight logs,flight logs
interstate commerce,interstate commerce
law enforcement,law enforcement
local airstrips,local airstrips
multiple passengers including celebrities and political figures,multiple passengers including celebrities and political figures
pilot logbook,pilot logbook
recipient,recipient
sexual assaults,sexual assaults
sexual assaults on underage minors,sexual assaults on underage minors
the witness,the witness
three young women,three young women
underage girl,underage girl
underage girls,underage girls
unnamed military commander,unnamed military commander
unnamed recipient,unnamed recipient
young girls,young girls
the author,the author
Barry Cohen,Barry Cohen
Bradley James Edwards,Bradley James Edwards
Larry Summers,Larry Summers
Jane Doe #3,Jane Doe #3
Detective Joseph Recarey,Detective Joseph Recarey
Lawrence Summers,Lawrence Summers
Russian intelligence,Russian intelligence
Virginia L. Giuffre,Virginia L. Giuffre
producer,producer
his plane,his plane
Nicky Haslam,Nicky Haslam
flight on November 20 2005,flight on November 20 2005
Jane Doe 102,Jane Doe 102
Chauntae Davies,Chauntae Davies
pilot,pilot
Kuti,Kuti
Benny Peled,Benny Peled
Jerusalem,Jerusalem
Sandy Berger,Sandy Berger
cabinet,cabinet
Jeffrey Epstein's private jet,Jeffrey Epstein's private jet
Heidi Klum,Heidi Klum
Matt Groning,Matt Groning
Owen Wilson,Owen Wilson
members of Mr. Epstein’s legal team,members of Mr. Epstein’s legal team
Emmy Taylor,Emmy Taylor
Claire Hazel,Claire Hazel
Joel Pashcow,Joel Pashcow
Mandy,Mandy
Tatianna Kovylskna,Tatianna Kovylskna
Police Detective Joe Recarey,Police Detective Joe Recarey
anti-aircraft fire targeting,anti-aircraft fire targeting
anti-aircraft fire,anti-aircraft fire
Kiev,Kiev
investor,investor
Casey Wasserman,Casey Wasserman
Galaxy Aviation,Galaxy Aviation
Debra,Debra
Julian Snowden,Julian Snowden
Aeroflot flight to Moscow,Aeroflot flight to Moscow
Aeroflot flight SU213,Aeroflot flight SU213
Hudson River,Hudson River
flight,flight
Bruce Rinehart,Bruce Rinehart
Company,Company
Jeffrey Epstein's jet,Jeffrey Epstein's jet
Rodney Slater,Rodney Slater
private 727 plane,private 727 plane
Andrés Pastrana,Andrés Pastrana
Anwar al-Sadat,Anwar al-Sadat
plane,plane
TT,TT
American Airlines,American Airlines
travel agent,travel agent
larger force of 200 men,larger force of 200 men
Nairobi,Nairobi
Jerry King,Jerry King
business jet market,business jet market
Launer,Launer
RAF Marham,RAF Marham
Jeffrey Epstein's Boeing 727,Jeffrey Epstein's Boeing 727
St Thomas,St Thomas
Je vacation,Je vacation
Joel,Joel
Benny Shabtai,Benny Shabtai
Gulfstream jet,Gulfstream jet
Gulfstream and Boeing 727,Gulfstream and Boeing 727
writer,writer
Jeffrey Epstein's private plane N909JE,Jeffrey Epstein's private plane N909JE
Monday,Monday
Je Vacation,Je Vacation
