Source,Target,Type,Id,Label,Weight,action
Glenn Greenwald,Brazil,Directed,157,,2,flew to
Graydon Carter,Bill Clinton,Directed,159,,1,flew
Gregg Launer,Global Express XRS,Directed,160,,1,installed entertainment system in aircraft
Gregg Launer,Wayne Huizenga,Directed,161,,1,installed SkyTheater system in aircraft for
Gregg Launer,Donald Trump,Directed,162,,1,installed entertainment system in aircraft for
Guy Amico,Larry Visoski,Directed,163,,1,sent email about aircraft photos
Harrison,Julian Snowden,Directed,164,,2,booked decoy flights for
Hillary Rodham Clinton,"approximately 20,000 miles in six days",Directed,166,,1,flew
Hillary Rodham Clinton,Paris,Directed,167,,1,departed on plane from
Hillary Rodham Clinton,80 countries,Directed,168,,1,flew and traveled to
International Jet,Donald Trump,Directed,169,,1,refurbished aircraft for
James Patterson,Australia,Directed,170,,1,flew to
Jeffrey Epstein,Larry Visoski,Directed,171,,1,flew with pilot
Jeffrey Epstein,Bill Clinton,Directed,172,,25,provided aircraft to
Jeffrey Epstein,his plane,Directed,173,,1,turned back onto plane
Jeffrey Epstein,727 airplane,Directed,174,,1,owned aircraft
Jeffrey Epstein,"Air Ghislaine, Inc.",Directed,175,,2,registered planes to
Jeffrey Epstein,Jane Doe 102 (HOUSE_OVERSIGHT_010585),Directed,176,,1,flew internationally with
Jeffrey Epstein,underage girls,Directed,177,,1,used plane for sexual abuse of
Jeffrey Epstein,sexual assaults,Directed,178,,1,traveled on planes in interstate commerce related to
Jeffrey Epstein,"Ghislaine Maxwell, Virginia Roberts, and ET",Directed,179,,1,traveled on private plane with
Jeffrey Epstein,Alan Dershowitz and Tatiana,Directed,180,,1,provided aircraft for travel with
Jeffrey Epstein,Defendant,Directed,181,,1,flew with
Jeffrey Epstein,Virginia L. Giuffre,Directed,182,,2,provided plane ticket to
Jeffrey Epstein,Town of Palm Beach,Directed,183,,1,maintained flight operations and aircraft maintenance base at
Jeffrey Epstein,U.S. Virgin Islands,Directed,184,,1,redirected flight to
Jeffrey Epstein,"Bill Clinton, Kevin Spacey, Chris Tucker",Directed,185,,2,flew to Africa with
Jeffrey Epstein,interstate commerce,Directed,186,,1,engaged in travel on planes in
Jeffrey Epstein,sexual assaults on underage minors,Directed,187,,1,used plane to facilitate
Jeffrey Epstein,"Prince Andrew, Duke of York",Directed,188,,3,allegedly flew
Jeffrey Epstein,Kevin Spacey,Directed,189,,11,flew
Jeffrey Epstein,Chris Tucker,Directed,190,,7,flew
Jeffrey Epstein,Virginia Roberts Giuffre,Directed,191,,2,traveled on private airplane with
Jeffrey Epstein,multiple passengers including celebrities and political figures,Directed,195,,1,operated private airplane transporting
Jeffrey Epstein,Ron Burkle,Directed,203,,1,flew
Jeffrey Epstein,Casey Wasserman,Directed,204,,1,flew
Jeffrey Epstein,Sarah Ransome,Directed,205,,1,arranged flight for
Jeffrey Epstein,Evian water,Directed,206,,1,requested item for aircraft
Jeffrey Epstein,Ghislaine Maxwell,Directed,213,,1,boarded aircraft with
Jeffrey Epstein,Boeing 727,Directed,214,,2,owned aircraft property
Jeffrey Epstein,Virginia,Directed,218,,1,flew
Jeffrey Epstein,Lawrence Henry Summers,Directed,225,,1,hosted on private aircraft
Jeffrey Epstein,three young women,Directed,226,,1,arrived at private aircraft with
Jeffrey Epstein,TED conference,Directed,227,,2,chartered private plane to transport guests to
Jeffrey Epstein,private 727 plane,Directed,228,,1,flew on
Jeffrey Epstein,TED conference participants,Directed,229,,1,hosted on private aircraft
Jeffrey Epstein,Thorbjørn Jagland,Directed,230,,1,offered flight to
Jeffrey Epstein,Alan M. Dershowitz,Directed,232,,1,provided flights on jets to
Jeffrey Epstein,London,Directed,233,,1,allegedly flew victim to
Jeffrey Epstein,dinner event for President Clinton,Directed,234,,1,allegedly flew victims to
Jeffrey Epstein,President Clinton,Directed,235,,2,flew two young women to dinner to entertain
Jeffrey Epstein,dinner event,Directed,236,,1,allegedly flew for entertainment purposes to
Jeffrey Epstein,Kelly Friendly,Directed,237,,3,offered flight seat via Andrew Farkas to
Jeffrey Epstein,Saint Thomas,Directed,240,,1,scheduled flight departure from
Jeffrey Epstein,unnamed recipient,Directed,241,,1,offered to send private plane to
Jeffrey Epstein,Tuesday,Directed,242,,1,reported that plane was delayed until
Jeffrey Epstein,flight,Directed,243,,1,provided estimate of flight time
Jeffrey Epstein,Jean Luc Brunel,Directed,248,,1,transported young girls via private aircraft with
Jeffrey Epstein,RAF Marham,Directed,250,,1,flew Gulfstream to
Jeffrey Epstein,Joel,Directed,254,,3,discussed_aircraft_interest
Jeffrey Epstein,Benny Shabtai,Directed,255,,1,discussed_plane_investment
Jeffrey Epstein,Tarek El Sayed,Directed,256,,1,offered aircraft sale
Jeffrey Epstein,JEGE Inc.,Directed,257,,1,owned aircraft through
Jeffrey Epstein,Gulfstream jet,Directed,258,,1,flew on
Jeffrey Epstein,Gulfstream and Boeing 727,Directed,261,,1,owned aircraft
Jeffrey Epstein,Avram Noam Chomsky,Directed,270,,1,arranged plane transport for friend from Athens
Jeffrey Epstein,Barry Cohen,Directed,271,,1,"queried about depreciation rules, renovations, and sale of aircraft"
Jeffrey Epstein,Donald Trump,Directed,272,,1,recounted plane crash involving
Jeffrey Epstein,Palm Beach International Airport,Directed,273,,1,scheduled flight departure from
Jeffrey Epstein,recipient,Directed,274,,2,asked if recipient could arrange plane pickup
Jeffrey Epstein,United States on Tuesday,Directed,275,,1,indicated flight plans to
Jeffrey Epstein,7 to 7:30 p.m. wheels up,Directed,277,,1,indicated flight timing of
Jeffrey Epstein,Paris,Directed,278,,1,asked about flight duration to
Jeffrey Epstein,David Stern,Directed,279,,1,inquired about commercial flight and noted presence of
Jeffrey Epstein,Boeing B727 aircraft sale transaction,Directed,285,,1,approved counter-offer for aircraft sale
Julian Assange,Edward Snowden,Directed,288,,1,arranged diversionary flights for
Kathy Gore Walters,Middle East and Central Asian clients,Directed,289,,1,delivering aircraft to
Kathy Ruemmler,Jeffrey Epstein,Directed,290,,1,asked whether business class is sufficient for Dubai flight
Kevin Spacey,Jeffrey Epstein,Directed,291,,1,traveled on aircraft with
Larry Flynt,Paul Krassner,Directed,292,,1,flew to vacation with
Larry Visoki,"Bill Clinton, Prince Andrew, Ehud Barak, Andres Pastrana Arango, Lawrence Summers, Ron Burkle, Kevin Spacey, Chris Tucker",Directed,293,,1,was deposed and testified about plane passengers including
Larry Visoki,Bill Clinton,Directed,294,,1,testified that was passenger on plane with
Larry Visoki,"Prince Andrew, Duke of York",Directed,295,,1,testified that was passenger on plane with
Larry Visoki,Ehud Barak,Directed,296,,1,testified that was passenger on plane with
Larry Visoki,Andrés Pastrana Arango,Directed,297,,1,testified that was passenger on plane with
Larry Visoki,Lawrence Henry Summers,Directed,298,,1,testified that was passenger on plane with
Larry Visoki,Ron Burkle,Directed,299,,1,testified that was passenger on plane with
Larry Visoki,Kevin Spacey,Directed,300,,1,testified that was passenger on plane with
Larry Visoki,Chris Tucker,Directed,301,,1,testified that was passenger on plane with
Larry Visoski,Jeffrey Epstein,Directed,302,,9,sent photos of aircraft
Larry Visoski,young girls,Directed,304,,1,testified about aircraft passengers in presence of
Larry Visoski,G550 aircraft,Directed,309,,1,reported on aircraft maintenance including
Larry Visoski,St Thomas,Directed,311,,1,scheduled_flight_to
Larry Visoski,Teterboro Airport,Directed,313,,1,offered to relocate aircraft to
Larry Visoski,Je Vacation,Directed,314,,1,requested aircraft certification form
Lawrance Visoski,Tarek El Sayed,Directed,316,,1,positioned aircraft to
Lawrance Visoski,Flight Star Maintenance,Directed,317,,1,described aircraft maintenance coordination with
Lawrence Henry Summers,Jeffrey Epstein,Directed,318,,1,traveled on aircraft with
Lawrence M. Krauss,Jeffrey Epstein,Directed,319,,2,provided flight cost information to
Lawrence M. Krauss,Chile,Directed,321,,1,cancelled flight to
Lesley Groff,Marilyn,Directed,322,,2,suggested flight for
Leslie H. Wexner,Galaxy Aviation,Directed,324,,1,had plane arrive at
Mark L. Epstein,Jeffrey Epstein,Directed,325,,1,testified that Trump flew on plane with
Michael J. Boccio,Boeing,Directed,326,,1,negotiated contracts with aircraft manufacturers and suppliers
Nadia Marcinkova,flight instructor and pilot,Directed,327,,1,operated commercial aviation business as
Naomi Campbell,Jeffrey Epstein,Directed,328,,1,flew as passenger on
Norbert Wiener,anti-aircraft fire targeting,Directed,329,,1,developed techniques for aiming anti-aircraft fire
Norbert Wiener,anti-aircraft fire,Directed,330,,1,developed techniques for aiming anti-aircraft fire
Peggy Siegal,Los Angeles,Directed,331,,1,flew to
President Clinton,Jeffrey Epstein,Directed,332,,1,flew on plane
"Prince Andrew, Duke of York",Jeffrey Epstein,Directed,333,,1,traveled on aircraft with
Professor Dershowitz,Jeffrey Epstein,Directed,334,,3,flew with
Richard Ledgett,Hawaii,Directed,337,,1,flew to
Ron Burkle,Jeffrey Epstein,Directed,338,,1,traveled on aircraft with
Russ Adler,Bradley James Edwards,Directed,339,,1,provided flight manifest
Sarah Harrison,Edward Snowden,Directed,340,,4,booked decoy flights
Sarah Kellen,Jeffrey Epstein,Directed,344,,1,appears on flight logs with
Sarah Kellen,Bill Clinton,Directed,345,,1,accompanied_on_flight
Scott Rothstein,Jeffrey Epstein,Directed,346,,2,used flight manifest information to pitch investors
Sean,Eva,Directed,348,,1,discussed interest in aircraft with
Soon Suey Sing organization,People's Republic of China flag,Directed,349,,1,flew
Tim Ferriss,"Mendoza wine country, Argentina",Directed,350,,1,chartered private plane in
Virginia Roberts Giuffre,Ghislaine Maxwell,Directed,351,,1,was placed on flights with
Virginia Roberts Giuffre,Jeffrey Epstein,Directed,352,,1,testified about sexual conduct aboard airplane with
Virginia Roberts Giuffre,"Chiang Mai, Thailand",Directed,353,,1,flew
Vladimir Putin,Edward Snowden,Directed,354,,2,approved flight of
Warren Justice,Gregg Launer,Directed,356,,1,served as chief pilot on aircraft with
Warren Justice,Launer,Directed,357,,1,recounted flight test with
WikiLeaks,Julian Snowden,Directed,358,,1,funded flight for
WikiLeaks,Harrison,Directed,359,,1,funded flight for
al Qaeda terrorists (19 hijackers),"World Trade Center towers, Pentagon, and field in Shanksville",Directed,360,,1,hijacked and crashed airplanes into
document author (attorney),Jeffrey Epstein's summary judgment motion,Directed,361,,1,used flight log evidence to respond to
federal and state authorities,Moscow airport,Directed,362,,1,took Snowden in special operation from airplane at
federal and state authorities,Edward Snowden,Directed,363,,1,extracted from plane and imposed restrictions on
the witness,underage girl,Directed,364,,1,asserted never on private airplane with underage girl
unnamed military commander,El Al,Directed,365,,1,arranged provision of hangar and aircraft for
Barry Cohen,Jeffrey Epstein,Directed,366,,11,described aircraft modifications
Larry Summers,Jeffrey Epstein,Directed,377,,1,requested flight time preference from
Jane Doe #3,Jeffrey Epstein,Directed,378,,1,appeared_in_flight_logs_of
Detective Joseph Recarey,Jeffrey Epstein,Directed,379,,1,observed aircraft belonging to
Lawrence Summers,Jeffrey Epstein's jet,Directed,380,,5,flew on
Lawrence Summers,Jeffrey Epstein,Directed,384,,5,flew on
Russian intelligence,Edward Snowden,Directed,390,,1,coordinated flight
producer,Jeffrey Epstein,Directed,391,,1,obtained flight plan
Nicky Haslam,England,Directed,392,,1,flew in from
pilot,Hudson River,Directed,393,,1,glided plane onto
Kuti,Nairobi,Directed,394,,1,redirected flight to
Benny Peled,larger force of 200 men,Directed,395,,1,proposed using four transport planes to ferry
Sandy Berger,Jeffrey Epstein,Directed,396,,1,flew on
Heidi Klum,Jeffrey Epstein,Directed,397,,1,flew as passenger on
Matt Groning,Jeffrey Epstein,Directed,398,,1,flew as passenger on
Owen Wilson,Larry Gagosian,Directed,399,,1,arrived on plane owned by
Bruce Rinehart,Dave Rogers,Directed,400,,1,provided_flight_logs
Bruce Rinehart,Jeffrey Epstein,Directed,401,,1,produced_flight_logs
Company,DriveTime,Directed,402,,1,entered into aircraft sharing agreement with
Andrés Pastrana,Jeffrey Epstein,Directed,403,,1,flew on
Anwar al-Sadat,Israel,Directed,404,,1,flew to
TT,Jeffrey Epstein,Directed,405,,1,offered to send plane
Jerry King,business jet market,Directed,406,,1,discussed executive conversions and green airplane completion
Je vacation,Donald Trump,Directed,407,,1,reported sale price of aircraft owned by
writer,Jeffrey Epstein's private plane N909JE,Directed,408,,1,attempted to delay flight
